<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
TRNFP;D;16/12/23;00:00;1397.5;865100
TRNFP;D;19/12/23;00:00;1413;538800
TRNFP;D;20/12/23;00:00;1441;705800
TRNFP;D;21/12/23;00:00;1435.5;1008100
TRNFP;D;22/12/23;00:00;1432.5;574500
TRNFP;D;23/12/23;00:00;1446.5;1181400
TRNFP;D;26/12/23;00:00;1448.5;643000
TRNFP;D;27/12/23;00:00;1443.5;608000
TRNFP;D;28/12/23;00:00;1449.5;494900
TRNFP;D;29/12/23;00:00;1448;546500
TRNFP;D;30/12/23;00:00;1445;535900
TRNFP;D;04/01/24;00:00;1460;422500
TRNFP;D;05/01/24;00:00;1457.5;283900
TRNFP;D;06/01/24;00:00;1454;236100
TRNFP;D;09/01/24;00:00;1460;233600
TRNFP;D;10/01/24;00:00;1459;617800
TRNFP;D;11/01/24;00:00;1456.5;517300
TRNFP;D;12/01/24;00:00;1482.5;1658900
TRNFP;D;13/01/24;00:00;1493;1312800
TRNFP;D;16/01/24;00:00;1497.5;898600
TRNFP;D;17/01/24;00:00;1544.5;3538700
TRNFP;D;18/01/24;00:00;1564;3624400
TRNFP;D;19/01/24;00:00;1550;1402000
TRNFP;D;20/01/24;00:00;1554;1140700
TRNFP;D;23/01/24;00:00;1561;1010500
TRNFP;D;24/01/24;00:00;1554;786400
TRNFP;D;25/01/24;00:00;1575.5;1698900
TRNFP;D;26/01/24;00:00;1572;1258700
TRNFP;D;27/01/24;00:00;1564.5;1102600
TRNFP;D;30/01/24;00:00;1577.5;768800
TRNFP;D;31/01/24;00:00;1583;1412700
TRNFP;D;01/02/24;00:00;1577;1224900
TRNFP;D;02/02/24;00:00;1574;857700
TRNFP;D;03/02/24;00:00;1577;916000
TRNFP;D;06/02/24;00:00;1586;1325700
TRNFP;D;07/02/24;00:00;1584.5;454900
TRNFP;D;08/02/24;00:00;1600;1557500
TRNFP;D;09/02/24;00:00;1591;1545100
TRNFP;D;10/02/24;00:00;1592;640300
TRNFP;D;13/02/24;00:00;1617.5;1056600
TRNFP;D;14/02/24;00:00;1659.5;1976300
TRNFP;D;15/02/24;00:00;1668.5;1990200
TRNFP;D;22/02/24;00:00;1583.5;5647672
TRNFP;D;23/02/24;00:00;1604.5;1702976
TRNFP;D;27/02/24;00:00;1638;1659830
TRNFP;D;28/02/24;00:00;1616;1083218
TRNFP;D;29/02/24;00:00;1608.5;630779
TRNFP;D;01/03/24;00:00;1608;564594
TRNFP;D;02/03/24;00:00;1590;1274877
TRNFP;D;05/03/24;00:00;1585;1071760
TRNFP;D;06/03/24;00:00;1604.5;1280900
TRNFP;D;07/03/24;00:00;1597;620504
TRNFP;D;08/03/24;00:00;1600;702151
TRNFP;D;12/03/24;00:00;1630.5;1499086
TRNFP;D;13/03/24;00:00;1618;680734
TRNFP;D;14/03/24;00:00;1604;562913
TRNFP;D;15/03/24;00:00;1585.5;1031273
TRNFP;D;16/03/24;00:00;1594.5;878324
TRNFP;D;19/03/24;00:00;1589.5;482248
TRNFP;D;20/03/24;00:00;1583;1172720
TRNFP;D;21/03/24;00:00;1607;2283041
TRNFP;D;22/03/24;00:00;1626.5;1485964
TRNFP;D;23/03/24;00:00;1595;1593358
TRNFP;D;26/03/24;00:00;1608;764969
TRNFP;D;27/03/24;00:00;1625;999831
TRNFP;D;28/03/24;00:00;1623.5;1025604
TRNFP;D;29/03/24;00:00;1623.5;1030106
TRNFP;D;30/03/24;00:00;1645.5;1831005
TRNFP;D;02/04/24;00:00;1639.5;1541394
TRNFP;D;03/04/24;00:00;1640;814387
