"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2025","79.5000","79.7100","79.7750","79.0500","","-0.69%"
"12/12/2025","80.0500","79.3100","80.0500","79.2100","","-0.25%"
"12/11/2025","80.2500","78.5100","80.2500","78.3500","","2.56%"
"12/10/2025","78.2500","77.3100","78.8250","77.1250","","1.36%"
"12/09/2025","77.2000","76.6100","77.3500","76.3000","","0.85%"
"12/08/2025","76.5500","76.8100","76.9600","76.2500","","0.07%"
"12/05/2025","76.5000","77.2100","77.3000","75.5100","","-0.92%"
"12/04/2025","77.2100","77.6100","77.6100","76.0000","","-0.52%"
"12/03/2025","77.6100","77.6100","78.3250","76.5000","","0.14%"
"12/02/2025","77.5000","77.7600","77.7900","77.2500","","-0.29%"
"12/01/2025","77.7250","77.9100","77.9600","77.6000","","0.29%"
"11/28/2025","77.5000","78.3100","78.4600","77.2500","","-0.58%"
"11/27/2025","77.9500","78.6100","78.6100","77.9500","","-0.70%"
"11/26/2025","78.5000","78.9600","78.9600","78.4750","","-0.48%"
"11/25/2025","78.8750","78.6600","79.2100","78.4100","","0.48%"
"11/24/2025","78.5000","79.0100","79.1100","77.7500","","-0.76%"
"11/21/2025","79.1000","80.0600","80.0600","78.5500","","-1.19%"
"11/20/2025","80.0500","80.6600","80.7600","80.0500","","-0.62%"
"11/19/2025","80.5500","80.9100","81.0100","80.4000","","-0.51%"
"11/18/2025","80.9600","81.0600","81.2500","80.9100","","-0.36%"
"11/17/2025","81.2500","80.7100","81.3500","80.7100","","0.49%"
"11/14/2025","80.8500","80.7000","81.2500","80.4100","","0.19%"
"11/13/2025","80.7000","81.0100","81.5250","80.3100","","-0.71%"
"11/12/2025","81.2750","81.0100","81.4000","80.9100","","0.40%"
"11/11/2025","80.9500","81.3100","81.6000","80.9500","","-0.37%"
"11/10/2025","81.2500","80.9600","81.4100","80.7000","","0.37%"
"11/07/2025","80.9500","81.1100","81.4100","80.9100","","-0.37%"
"11/06/2025","81.2500","81.2600","81.6000","80.9100","","-0.12%"
"11/05/2025","81.3500","80.7600","81.3600","80.3600","","0.43%"
"11/04/2025","81.0000","80.7100","81.1250","80.5100","","0.36%"
"11/03/2025","80.7100","81.0100","81.0100","80.5000","","-0.11%"
"10/31/2025","80.8000","80.4100","80.9500","80.0000","","1.06%"
"10/30/2025","79.9500","79.7100","81.0000","79.7100","","-0.06%"
"10/29/2025","80.0000","79.6100","80.1250","79.2100","","0.95%"
"10/28/2025","79.2500","79.7100","80.2100","79.2500","","0.00%"
"10/27/2025","79.2500","79.1250","79.5000","78.9250","","-0.63%"
"10/24/2025","79.7500","81.2600","81.5750","79.7500","","-1.86%"
